City,Year,RSMeanCostIndex,FHFAPriceIndex
"Phoenix, AZ",1988,274,268
"Phoenix, AZ",1989,282,274
"Phoenix, AZ",1990,290,280
"Phoenix, AZ",1991,298,284
"Phoenix, AZ",1992,306,288
"Phoenix, AZ",1993,314,292
"Phoenix, AZ",1994,322,296
"Phoenix, AZ",1995,330,300
"Phoenix, AZ",1996,342,324
"Phoenix, AZ",1997,354,348
"Phoenix, AZ",1998,366,372
"Phoenix, AZ",1999,378,396
"Phoenix, AZ",2000,390,420
"Phoenix, AZ",2001,406,516
"Phoenix, AZ",2002,422,612
"Phoenix, AZ",2003,438,708
"Phoenix, AZ",2004,454,804
"Phoenix, AZ",2005,470,900
"Phoenix, AZ",2006,486,1000
"Phoenix, AZ",2007,502,900
"Phoenix, AZ",2008,518,700
"Phoenix, AZ",2009,534,600
"Phoenix, AZ",2010,550,500
"Phoenix, AZ",2011,570,490
"Phoenix, AZ",2012,590,480
"Phoenix, AZ",2013,617,550
"Phoenix, AZ",2014,643,620
"Phoenix, AZ",2015,670,720
"Phoenix, AZ",2016,713,810
"Phoenix, AZ",2017,757,900
"Phoenix, AZ",2018,800,1050
"Phoenix, AZ",2019,860,1200
"Phoenix, AZ",2020,920,1400
"Phoenix, AZ",2021,1050,1900
"Phoenix, AZ",2022,1180,2400
"Phoenix, AZ",2023,1315,2450
"Phoenix, AZ",2024,1450,2500
"San Francisco, CA",1950,55,
"San Francisco, CA",1951,57,
"San Francisco, CA",1952,59,
"San Francisco, CA",1953,61,
"San Francisco, CA",1954,63,
"San Francisco, CA",1955,65,
"San Francisco, CA",1956,68,
"San Francisco, CA",1957,71,
"San Francisco, CA",1958,74,
"San Francisco, CA",1959,77,
"San Francisco, CA",1960,80,
"San Francisco, CA",1961,83,
"San Francisco, CA",1962,86,
"San Francisco, CA",1963,89,
"San Francisco, CA",1964,92,
"San Francisco, CA",1965,95,
"San Francisco, CA",1966,100,
"San Francisco, CA",1967,105,
"San Francisco, CA",1968,110,
"San Francisco, CA",1969,115,
"San Francisco, CA",1970,120,
"San Francisco, CA",1971,133,
"San Francisco, CA",1972,146,
"San Francisco, CA",1973,159,
"San Francisco, CA",1974,172,
"San Francisco, CA",1975,185,170
"San Francisco, CA",1976,206,206
"San Francisco, CA",1977,227,242
"San Francisco, CA",1978,248,278
"San Francisco, CA",1979,269,314
"San Francisco, CA",1980,290,350
"San Francisco, CA",1981,302,376
"San Francisco, CA",1982,314,402
"San Francisco, CA",1983,326,428
"San Francisco, CA",1984,338,454
"San Francisco, CA",1985,350,480
"San Francisco, CA",1986,362,520
"San Francisco, CA",1987,374,560
"San Francisco, CA",1988,386,600
"San Francisco, CA",1989,398,640
"San Francisco, CA",1990,410,680
"San Francisco, CA",1991,422,653
"San Francisco, CA",1992,434,627
"San Francisco, CA",1993,446,600
"San Francisco, CA",1994,458,590
"San Francisco, CA",1995,470,580
"San Francisco, CA",1996,486,600
"San Francisco, CA",1997,502,620
"San Francisco, CA",1998,518,713
"San Francisco, CA",1999,534,807
"San Francisco, CA",2000,550,900
"San Francisco, CA",2001,572,1120
"San Francisco, CA",2002,594,1340
"San Francisco, CA",2003,616,1560
"San Francisco, CA",2004,638,1780
"San Francisco, CA",2005,660,2000
"San Francisco, CA",2006,680,2050
"San Francisco, CA",2007,700,2100
"San Francisco, CA",2008,720,1700
"San Francisco, CA",2009,740,1550
"San Francisco, CA",2010,760,1400
"San Francisco, CA",2011,785,1400
"San Francisco, CA",2012,810,1400
"San Francisco, CA",2013,847,1800
"San Francisco, CA",2014,883,2200
"San Francisco, CA",2015,920,2600
"San Francisco, CA",2016,973,3000
"San Francisco, CA",2017,1027,3400
"San Francisco, CA",2018,1080,4000
"San Francisco, CA",2019,1160,4400
"San Francisco, CA",2020,1240,4800
"San Francisco, CA",2021,1410,5800
"San Francisco, CA",2022,1580,7200
"San Francisco, CA",2023,1740,7800
"San Francisco, CA",2024,1900,8500
"Seattle, WA",1950,50,
"Seattle, WA",1951,52,
"Seattle, WA",1952,54,
"Seattle, WA",1953,56,
"Seattle, WA",1954,58,
"Seattle, WA",1955,60,
"Seattle, WA",1956,62,
"Seattle, WA",1957,64,
"Seattle, WA",1958,66,
"Seattle, WA",1959,68,
"Seattle, WA",1960,70,
"Seattle, WA",1961,73,
"Seattle, WA",1962,76,
"Seattle, WA",1963,79,
"Seattle, WA",1964,82,
"Seattle, WA",1965,85,
"Seattle, WA",1966,90,
"Seattle, WA",1967,95,
"Seattle, WA",1968,100,
"Seattle, WA",1969,105,
"Seattle, WA",1970,110,
"Seattle, WA",1971,122,
"Seattle, WA",1972,134,
"Seattle, WA",1973,146,
"Seattle, WA",1974,158,
"Seattle, WA",1975,170,150
"Seattle, WA",1976,188,176
"Seattle, WA",1977,206,202
"Seattle, WA",1978,224,228
"Seattle, WA",1979,242,254
"Seattle, WA",1980,260,280
"Seattle, WA",1981,270,288
"Seattle, WA",1982,280,296
"Seattle, WA",1983,290,304
"Seattle, WA",1984,300,312
"Seattle, WA",1985,310,320
"Seattle, WA",1986,322,340
"Seattle, WA",1987,334,360
"Seattle, WA",1988,346,380
"Seattle, WA",1989,358,400
"Seattle, WA",1990,370,420
"Seattle, WA",1991,380,432
"Seattle, WA",1992,390,444
"Seattle, WA",1993,400,456
"Seattle, WA",1994,410,468
"Seattle, WA",1995,420,480
"Seattle, WA",1996,434,508
"Seattle, WA",1997,448,536
"Seattle, WA",1998,462,564
"Seattle, WA",1999,476,592
"Seattle, WA",2000,490,620
"Seattle, WA",2001,510,716
"Seattle, WA",2002,530,812
"Seattle, WA",2003,550,908
"Seattle, WA",2004,570,1004
"Seattle, WA",2005,590,1100
"Seattle, WA",2006,608,1200
"Seattle, WA",2007,626,1300
"Seattle, WA",2008,644,1150
"Seattle, WA",2009,662,1025
"Seattle, WA",2010,680,900
"Seattle, WA",2011,705,875
"Seattle, WA",2012,730,850
"Seattle, WA",2013,763,975
"Seattle, WA",2014,797,1100
"Seattle, WA",2015,830,1350
"Seattle, WA",2016,880,1675
"Seattle, WA",2017,930,2000
"Seattle, WA",2018,980,2400
"Seattle, WA",2019,1055,2700
"Seattle, WA",2020,1130,3100
"Seattle, WA",2021,1290,4000
"Seattle, WA",2022,1450,5200
"Seattle, WA",2023,1615,5800
"Seattle, WA",2024,1780,7500
"Washington, DC",1950,50,
"Washington, DC",1951,52,
"Washington, DC",1952,54,
"Washington, DC",1953,56,
"Washington, DC",1954,58,
"Washington, DC",1955,60,
"Washington, DC",1956,62,
"Washington, DC",1957,64,
"Washington, DC",1958,66,
"Washington, DC",1959,68,
"Washington, DC",1960,70,
"Washington, DC",1961,73,
"Washington, DC",1962,76,
"Washington, DC",1963,79,
"Washington, DC",1964,82,
"Washington, DC",1965,85,
"Washington, DC",1966,90,
"Washington, DC",1967,95,
"Washington, DC",1968,100,
"Washington, DC",1969,105,
"Washington, DC",1970,110,
"Washington, DC",1971,121,
"Washington, DC",1972,132,
"Washington, DC",1973,143,
"Washington, DC",1974,154,
"Washington, DC",1975,165,150
"Washington, DC",1976,184,170
"Washington, DC",1977,203,190
"Washington, DC",1978,222,210
"Washington, DC",1979,241,230
"Washington, DC",1980,260,250
"Washington, DC",1981,270,266
"Washington, DC",1982,280,282
"Washington, DC",1983,290,298
"Washington, DC",1984,300,314
"Washington, DC",1985,310,330
"Washington, DC",1986,320,350
"Washington, DC",1987,330,370
"Washington, DC",1988,340,390
"Washington, DC",1989,350,410
"Washington, DC",1990,360,430
"Washington, DC",1991,370,420
"Washington, DC",1992,380,410
"Washington, DC",1993,390,400
"Washington, DC",1994,400,400
"Washington, DC",1995,410,400
"Washington, DC",1996,424,426
"Washington, DC",1997,438,452
"Washington, DC",1998,452,478
"Washington, DC",1999,466,504
"Washington, DC",2000,480,530
"Washington, DC",2001,500,634
"Washington, DC",2002,520,738
"Washington, DC",2003,540,842
"Washington, DC",2004,560,946
"Washington, DC",2005,580,1050
"Washington, DC",2006,598,1100
"Washington, DC",2007,616,1150
"Washington, DC",2008,634,1050
"Washington, DC",2009,652,975
"Washington, DC",2010,670,900
"Washington, DC",2011,695,890
"Washington, DC",2012,720,880
"Washington, DC",2013,750,940
"Washington, DC",2014,780,1000
"Washington, DC",2015,810,1100
"Washington, DC",2016,860,1200
"Washington, DC",2017,910,1300
"Washington, DC",2018,960,1450
"Washington, DC",2019,1030,1580
"Washington, DC",2020,1100,1750
"Washington, DC",2021,1260,2100
"Washington, DC",2022,1420,2500
"Washington, DC",2023,1585,2600
"Washington, DC",2024,1750,2700
